S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
168C,Darryl Reuben Hall's THE DINNER Nat'l Premiere in NY Fest!,Plays,United States,DARRYL REUBEN HALL,"A 'tasty' new drama ~""Booker T Washington of Tuskegee, Alabama, dined with the President (Roosevelt) last evening.""~ the White House."
98B,Chalkboard Players 2015 Free Lunch Site Fun Tour,Theater,United States,Dallas Munger,"Engaging new youth audiences in fun arts experiences, sparking interest in live performance & promoting the connections that art makes."
356C,Let's Launch Little Bird Theater!,Theater,United States,Carolyn McCarthy,Little Bird Theater brings life to vacant spaces with pop-up productions by local playwrights.
85,Let There Be Balloons,Theater,United States,Lovewell Theatre Project,A brand new musical. An international collaboration. Redefining the creative process. Let's put on a show!
108B,,,,,
360C,The Grouch,Musical,United Kingdom,Sophie Watson & Jessica McCloy-Campbell,"An amazing new christmas show, with love, laughter and sheer calculated silliness."
571C,Project Coffee Pot,Theater,United States,Benjamin James Kelly,This Theater/performance art piece will tell a story about Saint Paul and the building of the controversial 94 freeway.
37,CHINGLISH at University of Michigan,Theater,United States,Flores Komatsu,"""Chinglish"", by David Henry Hwang, is a sharp and hilarious play about the struggles of communication through language and culture."
440B,EUTCo presents scenes from Tom Wells' 'The Kitchen Sink',Festivals,United Kingdom,Exeter University Theatre Company,EUTCo's new project brings you comedy with a punch. Please help us to take it to the Edinburgh Fringe this August!
134B,DRY LAND by Ruby Rae Spiegel dir. by Adrienne Campbell-Holt,Theater,United States,Colt Coeur,"Dry Land is a play about girls, bath salts, bathing suits, rashes, love, and what happens in one locker room after everybody's left."
346C,New Broadway Musical: ONE FOR MY BABY,Theater,United States,scott thompson,"A full workshop/showcase production of ""ONE FOR MY BABY"" a Broadway-bound musicalbased on the songs of Harold Arlen"
225C,"Editing Needed For ""First Semester Physics Survival Guide""",Nonfiction,United States,Teman H. Cooke,"This bookonce edited & published, will help undergraduate students survive and thrive in the first semester of algebra-based physics."
444C,Masters Of Anatomy,Art Books,Canada,Masters Of Anatomy,"An Anatomy Book drawn by animatorsillustrators and comic-book artists who have worked for Disney, Pixar, Dream Works, Marvel and DC."
425B,Portland Oregon Street Art Graffiti Book: Volume Two,Art Books,United States,Seattle Street Art,"My interest in street art and graffiti has led me to launch a book series to help preserve urban art in Portland, OR."
352B,Avery Anthology's 25 Cities Project,Fiction,United States,"Avery House Press, Inc.","A special edition of Avery Anthology, the 25 Cities Project will feature diverse short fiction from America's most populated cities."
23,Her Animals,Poetry,United States,Hummingbird Press,"Her Animals by poet/activist Emily Johnston (Hummingbird Press, fall 2015) printed the way a book should be: sustainably and locally."
517C,Juniper Leaves: Quirky YA Fantasy Book,Young Adult,United States,Jaz Joyner,Juniper Braykinky-haired queer nerdembarks on a magical adventure in Scotland after losing her grandmother in this YA fantasy.
132,Blast From the Past,Musical,United States,Derrick Markray,"I am asking for public funding to help put together a musical tribute titled ""Blast From The Past"" reenacting famous HipHop, RnB acts."
350B,All-Star Video: A 90's Trope,Theater,United States,Bryan Ortiz,Grab your flannel because the 90s are back at the Overtime Theater.
505C,Secular Solstice 2014,Festivals,United States,Raymond Arnold,Gather to sing and celebrate humanityscience and civilization: how we turned the longest night into a festival of light.
237C,The Library of Philip Johnson,Art Books,United States,Birch Cooper,Help preserve part of America's cultural heritage by supporting our project. All proceeds benefit architect Philip Johnson's library.
137C,BLOOD PLAYthe next brand-new play by The Debate Society,Theater,United States,The Debate Society,"Whispers in the basement bars around the neighborhood. Kids, terrified, telling trembling tales in tents in the yard...He's out there."
320C,Dante's Inferno: A Modern Telling,Theater,United Kingdom,Craft Theatre,"With rigour and raw emotional intensity, Craft delves the depths of the human soul and the torments of hell in search of salvation."
148C,The NerdSync Podcast!,Radio & Podcasts,United States,Scotty Niswander,There are no nerdy thingsonly nerdy people! Listen and laugh along every Monday on the NerdSync Podcast!
149C,Yin The Master of Yo project!!!!!!!,Children's Books,United States,Pixel Pirate Studio,We are raising funds to print our first self published kids book. Every little bit helps get us closer to our goal and inspiring children to read.
645C,"Titus Andronicus at Bold Tendencies Car Park, Peckham",Immersive,United Kingdom,The Theory Of Everything,"Help bring a thrilling, new, parkour-inspired production of Shakespeare's Titus Andronicus to this atmospheric Peckham landmark."
291B,Wolftree Vol. #2,Publishing,United States,Noah Kupcho,"A quarterly printed publication that shares the stories of makers, dreamers, and adventurers of the Midwest."
92C,Nick May's MOLECRICKET,Fiction,United States,Nick May,Help me publish MOLECRICKETthe story of a young boya plagued farma devout familyand a terrible secret.
279C,THE TIK-TOK MAN OF OZ stage musical,Theater,United States,eric shanower,The hit musical by L. Frank Baum returns to San DiegoCAfor one night only at Winkie Con 50 on August 92014
632C,Storms Beneath Her Skin - Midwest Tour 2012,Theater,United States,Rebecca Kling,"Are you a boy or a girl? You can only pick one, and you had better get it right. This is a show about answering that question."
417C,The Death of the Oldest Dog in the World,Theater,United States,Jesse Lowe (deleted),The story of a loyal doga lost boy & a fractured family.  Superheroes!  Ghosts!  Sasquatch!  Not your everyday story of redemption!
177C,Much Further Out Than You Thought @ Edinburgh Fringe 2015,Plays,United Kingdom,The MolinoGroup,"A new one-man play by Giles Roberts, shining a different light on the very human cost of war *IDEASTAP UNDERBELLY AWARD WINNER 2015*"
118B,Titus & Two Conversations. Huzzah!,Plays,United States,Ross Williams,"Our fifth season is upon us: A wild new imagining of Titus Andronicus and our signature reading series ""Two Plays. One Conversation."""
155C,Elephabet wants to be an e-Book and Poster when it grows up!,Children's Books,United States,Hilary Pfeifer,Elephabet is a book and stop-action animation that celebrates the alphabet. Wouldn't it be cool to also have it as an e-book or poster?
401C,Bearded Ladies Cabaret Revolution,Theater,United States,The Bearded Ladies,The Bearded Ladies will lead a city-wide and region-wide invasion of boldinnovative cabaret with two all new shows and a tour.
84B,Like a Local Mag,Periodicals,United States,Polly,"Like a Local is a quarterly online travel magazine dedicated to going beyond the guidebook in one, singular city per issue."
151C,Elidaire:  The Tome of Knowledge,Young Adult,United States,Melanie A Gabbard,YA Urban Fantasy Novel of demon-hunting warriorslosing their abilitiesand a mysterious girl's dreams change everything.
428C,"Making Mama(s) Proud: The 2011 ""Donna/Madonna"" Tour",Theater,United States,John Paul Karliak,My award-winning solo show is debuting in LA and beyond!  Help me spread my tale of multiple motherly love around the country!
572C,Artist Gumbo- An interdisciplinary evening of the arts,Theater,United States,Dramatis Personae,Dramatis Personae's quarterly event for artists from all mediums to share their workcollaborate with othersand build community.
641C,Places! The Musical,Theater,United States,Danny Scott,"New musical ready for production but needs orchestrations!  Music & lyrics for 16 songs done, but we need professional help to go live!"
244B,GODS OF THE PRAIRIE: a mythical midwestern musical,Musical,United States,The Colonel Mustard,"Twisters, trains and titans collide in this make-it-yourself musical. Join the quest where gods and monsters rule the Wild (mid)-West."
566C,"Shakespeare Picks Up a Banjo in ""As You Like It""",Theater,United States,G. Todd Buker,Part romantic comedypart bluegrass concert. Bare TheatreRaleigh Little Theatre & PineCone team up for a fun outdoor event!
81B,The Curious List of Insides,Children's Books,United States,Jill Adams & Alex McAdams,Oliver has an adventure through his neighborhood to find out what is inside of him & gathers objects that represent what he is made of.
297C,Archive 2013: From the Mixed-Up Files of Diana G. Kimball,Periodicals,United States,Diana Kimball,A newsprint zine.
453C,Heart Magazine,Zines,United States,Rachel LeBeau,We're creating a magazine that focuses on building women up by sharing their stories and featuring attainable lifestyle content.
95C,"Schmooze Over Miami, A Theatrical Pub Crawl",Theater,United States,Front Yard Theatre Collective,Take a tour of Downtown Miami's best bars while you journey through time with Miami's own Front Yard Theatre Collective.
286B,True Stories: We Made Up.,Publishing,United States,Michael Johnson/Chris Johnson/Dave Beebe,Short story collection based on the lives of the three authors. They fill in the cracks of their memories with braggadocio & folklore.
107B,,,,,
467B,Free For All,Experimental,United Kingdom,Richard O'Brien & Rebecca Martin,A new verse play about free schools: Edinburgh Fringe & Midlands tour. Help us cover production costs for our talented creative team.
221B,Roads Were Not Built For Cars book & Kindle & iPad versions,Nonfiction,United Kingdom,Carlton Reid,Roads Were Not Built For Cars is a history book exploring the role of US & UK cyclists in improving highways for everybody.
558C,Help Armour Go Digital Before We Go Dark!!,Theater,United States,Adam Roberts,Help Save The Historic Armour Theatre! Hollywood is forcing us to upgrade to new digital projection or go dark.
261B,I'M MISERABLE BUT CHANGE SCARES ME,Theater,United States,New Saloon,Would ye like to see a goodly video? A goodly video shall do much to remedy the sick at heart.
378C,Temple by Temple,Art Books,United States,Chelsea & Elayna,A journey to 88 temples to create 88 hand-bound illustrated books.
359C,"""Hit Her With The Skates"" a New Musical",Musical,United States,Christine Rea & Rick Briskin,"""Hit Her with the Skates"" is a new musical created by Rick Briskin & Christine Rea.  Original, whimsical and heart warming."
334C,Disco Jesus and the Apostles of Funk: The Musical,Theater,United States,Vaughn Irving,Join this disco/funk band as they tell the story of a girl named Maryand how she learns to get down with her bad self.
116,"Stand Alone Theatre Company ""Love, Lust & Straight Jackets""",Theater,United States,Michael Orzechowski,"Stand Alone T.C. aims to put up a new original play by Michael Orzechowski at the Chesapeake Arts Center in Brooklyn, MD."
