S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
373C,United Kingdom,The Wayward Tales' Grimoire - By T A Newman,Fiction,T A Newman,Grimoire' is the first of the Wayward Tales and is an Urban Fantasy novel that changes the way we read magical fiction forever.
374C,Australia,150Th Anniversary Edition - Alice's Adventures Under Ground,Children's Books,Cobblestone Productions Pty. Ltd.,Under licence from the British Libraryone of the most beloved stories in the history of literature will be brought back to life!
375C,United States,Acro An Alphabet Art Book,Art Books,AcroEntertainment: Katie & Kaci,A unique alphabet book of contortion and acrobatics by Kaci and Katie of AcroEntertainment.
376C,United States,Kitsch Encyclopedia By Sara Cwynar,Art Books,Blonde Art Books,A book project by Sara Cwynar of original and appropriated images and textco-published with Blonde Art Books.
377C,United States,Ihumpty,Fiction,Eric Wilder,"Celebrating the absurd with mock-tabloid satire, IHumpty marries the realities of life with elements from fairytales and folklore."
378C,United States,Temple By Temple,Art Books,Chelsea & Elayna,A journey to 88 temples to create 88 hand-bound illustrated books.
379C,United Kingdom,Trolleyology - The First Ten Years Of Trolley Books,Publishing,Trolley Books,"TROLLEYOLOGY - the story of ten years of maverick independent publishing of photography, reportage, contemporary art and literature."
380C,United States,Ice Party (A Novel),Fiction,Sumeet Banerji,Follow Charles as he experiments with a host of outrageous lifestyles. Kickstarter only handmade covers.
381C,United States,A Whale Who Dreamt Of A Snail: A Children's Book,Children's Books,William Heimbach & Angelina Tolentino,A bedtime picture book about our dreamsand how we are connected to the other inhabitants of our world.
382C,United States,Carl's Odyssey: A Series Of Kid's Books,Children's Books,Carl'S Odyssey,Carl's Odyssey is a series of children's books about a little bulb of garlic who's lost in the grocery store and has to get back home.
383C,United States,Evolution: The Art Of Rebecca Guay 1993-2014,Art Books,Rebecca Guay,This is the first comprehensive collected book of works by Rebecca Guay.
384C,United States,"Pop' Culture Odyssey: ""A Secret History Of The Ollie""",Nonfiction,Craig Snyder,Every culture has a creation myth. This is the story of the Ollie and the skaters who used it to launch a revolution.
385C,United States,The Passion As Told By Antã­Gona Pérez,Theater,Thriving Artists,"Set in a Latin American dictatorship, this version of Antigone questions our role and responsibilities as social media users."
386C,United States,Baby's Breath In The Dream Up Festival,Theater,Jeana Scotti,"A new play about the story of a girl who has a baby growing in her lung. Told through an examination of language, movement and breath."
387C,United States,Night Of Ashes,Plays,Cleveland High School PTA,"A Theatrical Prequel to Hell's Rebels, the current Pathfinder Adventure Path from Paizo Publishing"
388C,United States,Learning How To Drown: A Musical,Theater,Patricia Noonan,A new multi-generational musical love story by Patricia Noonan and Amanda Jacobs inspired by the Irish myth of the Selkies.
389C,United States,Showbiz: Active Terrorism (A Multimedia Musical),Experimental,Sebastian Cummings,Showbiz is a musical that comedically follows the life of Sebastiana young queer person of color and their journey to Showbiz.
391C,United States,Peter/Wendy Goes To The 2015 Edinburgh Fringe Festival,Festivals,Michael Berry-Berlinski,Peter/Wendy at 2015 Edinburgh Fringe FestivalPresented by Oakland School for the Arts
392C,United States,"""Turn That Thing Around"" Goes To Chicago!!!",Immersive,Aaron Harris Woodstein,Jacka bi college freshmanis in for the ride of his life after a HIV test. A 1059 mi car ride turns into a Full-Blown Manic Episode!
393C,United Kingdom,The Same Faces - Improvised Comedy,Theater,Tom Young,The Same Faces want to start gigging around the UK! That's pretty expensiveso we're asking for YOUR help to get us off the ground.
394C,United States,Launching Umbrella Project,Theater,Norah Elges,Dedicated to making Seattle a destination for new work by increasing accessibility and developing renewable sources of revenue.
395C,United States,The Caretaker By Harold Pinter,Theater,South Stream Productions,The Caretaker IS funnyup to a point. Beyond that pointit ceases to be funnyand it is because of that point that I wrote it. -HP
396C,United States,The Metronome Society,Plays,Metronome Society,"Self-Titled: A Live (Theatrical) Mixtape. An evening of short plays and music inspired by the works of Jimi, Aretha, Sting and Rufus!"
397C,United States,Snow White - The Mirror's Revenge (Musical Theater),Musical,Jay Hartlove,Musical theater production and score soundtrack album for SNOW WHITE SEQUEL. The rest of the story you think you know.
398C,United Kingdom,Moving Dust Presents 'This Much' 2015,Plays,Moving Dust,3 boys1 white dress and a hoover collide in this explosive new play by John Fitzpatrick. Life's a wedding disco. Let's dance.
399C,United States,A Home For Comedy In Vermont!,Spaces,Vermont Comedy Club,ONLY HOURS LEFT ON THE CAMPAIGN! Our stretch goal is $35k; let's build a home for standup/improv shows & classes in VT!
400C,United States,The Doppelgännger Cometh And Overtaketh: Cincy Fringe Fest,Theater,Alex Parks,"Absurd, modern and fantastical, this play plays with the desire in all of us to escape our own responsibilities for something new."
401C,United States,Bearded Ladies Cabaret Revolution,Theater,The Bearded Ladies,The Bearded Ladies will lead a city-wide and region-wide invasion of boldinnovative cabaret with two all new shows and a tour.
402C,United States,"Aw Keats, Keats Motherf***Er!",Theater,Stiven Luka,A show about creation and entropyportraying the lives of the Romantic poet John Keats and contemporary conceptual artist Jonathon Keats.
403C,United States,The Museum Proper: A Public Puppet Performance,Theater,Bustedpuppet,Spectacle Puppetry:  a 12-foot tall monster will confront the net of a naturalist in the midst of the crowd of San Jose's summer arts festival.
404C,United States,One Flew Over The Cuckoo's Nest: Synapse Theatre Ensemble,Theater,Synapse Theatre Ensemble,"Synapse Theatre Ensemble needs YOUR help to fund their premier production of ""One Flew Over the Cuckoo's Nest"" by Dale Wasserman."
405C,United States,Girls Who Drew Horses,Theater,Meghann Mccracken,A woman lost in travel finds herself confronted by ghosts of her youth through dialogue with an abandoned Japanese doll.
406C,United States,Jasper In Deadlanda New Musical,Musical,Pasadena Musical Theatre Program,"""Jasper in Deadland"" tells the story of 16-year-old Jasperwho loses his best friend Agnes and travels into the afterlife to find her."
407C,United States,Evil Dead: The Musical,Theater,No Name Players,MAN vs. DEADITES! A hilarious musical retelling of the cult classic 80's films by Sam Raimi. You stay GROOVY Pittsburgh.
408C,United States,"""Laid Plans"" A New Play By Josh Sohn",Theater,Katharine Henner,"""Laid Plans"" is a play written by Brooklyn-based writer Josh Sohn & selected as a finalist for the Samuel French Off Off Broadway Short Play festival."
409C,United States,Mixtape: Original One-Act Festival,Festivals,Lulu Brud,MIXTAPE: Original One-Act Festival is a platform for artists of all types to find their voices--actorsdirectorswritersmusicianspaintersetc.
410C,United States,The Shimmer Project,Theater,Jason Lambert & Agnes Table,"Gritty and poetic, O'Keefe's award-winning solo theatre piece is a coming of age story ideal for a variety of audiences and venues."
411C,United States,Physical Festival Chicago 2014,Festivals,Physical Festival,Physical is a 9-day festival celebrating contemporary physical theater with its inaugural year in Chicago July 25th to August 2nd!
412C,United States,Running Scared: The Technology Show,Theater,The Collectin,"A theater piece made up of vignettes concerning modern technology, and the effects it has on inter-personal communication."
413C,United States,[Gooseplay]: A Staged Reading At Jester'Z Theater,Theater,Michael Yichao,A world premiere reading of a new play by Yichaofeaturing EJ DohringJon Gentryand Harrison Redmond!
414C,United States,Fog By Eugene O'Neill,Theater,InOktober Productions,"""Those whom the gods want to destroy they first teach mathematics."" Eugene O'Neill's early play ""Fog"" staged as a modern drama of disconnect. "
415C,United Kingdom,The Horror! The Horror! - The Final Curtain,Musical,Theatre Of The Damned,"A rollicking new musical horror-comedy, filled with saucy antics, doomed romance, toe-tapping tunes and macabre merriment."
416C,United States,Umo's Maldoror: New. Athletic. Poetic. Loud. Theatre.,Theater,Umo Ensemble,"Maldoror - Birth of a Villain: Giddy, harrowing, hallucinatory new theatrefull of poetry, athleticism, and head-rattling dissonance."
417C,United States,The Death Of The Oldest Dog In The World,Theater,Jesse Lowe (Deleted),"The story of a loyal dog, a lost boy & a fractured family.  Superheroes!  Ghosts!  Sasquatch!  Not your everyday story of redemption!"
418C,United States,October In The Chair & Other Fragile Things...This Halloween,Plays,Michael Mcquilken,"Award-winning OSR Performance Ensemble brings the creepy, unlikely, bitter, sweet, macabre & beautiful world of Neil Gaiman to the stage."
419C,United States,Conversation: A World Premiere Performance At The Philly Fringe (And Beyond),Theater,Alexis Clements,Imagine you could have a perfect conversation every timegetting exactly what you want from the other person. Katharine has a theory about just that.
420C,United States,The R&J Project,Theater,Laura Williams,A movement-based production of Romeo & Juliet in which the chorus acts as fate to manipulate the characters and their surroundings.
421C,United Kingdom,Early Days (Of A Better Nation),Theater,Coney HQ,Early Days is a new kind of performance putting audiences across the country in charge of building a new society - from the ground up.
422C,United States,Eggshell,Theater,Søren Olsen,Help us raise money to build a giant robotic egg for a completely gibberish universe being presented at the Hollywood Fringe Festival!
423C,United Kingdom,A Tail Of Two Cities: Adventure 1,Theater,Coney HQ,"A Tail Of Two Cities is a set of adventures through the financial district of a city, exploring our relationship to the economic crisis"
425C,United States,Melissa Arctic At The Road Theatre,Plays,Road Theatre,"A play with songs written by Craig Wrightbased on Shakespeare's ""The Winter's Tale"" set in late 20th Century, Pine City, Minnesota."
426C,United States,The Rising Star Project (Documentary),Musical,The 5Th Avenue Theatre,Join us in making a documentary of our groundbreaking musical theatre program for high school students.
427C,United Kingdom,Macbeth - Blood Will Have Blood,Theater,China Plate & Contender Charlie,An unforgettable reimagining of Shakespeare's Macbeth for children aged 9-13.
428C,United States,"Making Mama(S) Proud: The 2011 ""Donna/Madonna"" Tour",Theater,John Paul Karliak,My award-winning solo show is debuting in LA and beyond!  Help me spread my tale of multiple motherly love around the country!
429C,United States,Rio The Musical,Theater,Pinny Gniwisch,RIO' tells the story of Pipioa twelve year old orphan who arrives in Rio on the morning of Carnaval in search of his lost mother
430C,United States,Frankenstein: The Puppet Opera,Experimental,Craig Joseph,"An art gallery, two composers, several visual artists, performers, and musicians come together to tell a classic tale - with puppets."
431C,United States,"""A Different Woman:"" Banned Memoirgroundbreaking Theatre! ",Theater,Veronica Russell,"BANNED in 3 countries, DESTROYED by authorities, & SHOCKING to great literary minds of its day...the1925 memoir of a Texas schoolteacher"
432C,United States,Pointless Brewery & Theatre,Theater,Tori & Jason Tomalia,Creating a home for improvisational theatre and experimental ales.
433C,United States,Panic,Theater,Ian Franulovich,We wish to create a traveling Haunted Attraction. Bring new thrills to new cities each year. Turning your warehouse...into a scarehouse
434C,Belgium,Avenida,Theater,Rua Breathnach,"A new play by Rua Breathnach, directed by Remi Beelprezat The Warehouse Studio Theatre, Brussels17 - 21 November 2015."
435C,United Kingdom,The Dead Loss,Plays,Matt Swales & James Howell & Max Mordue,1920's London; two brothers try to make a name for themselves in the underground crime world but encounter a ruthless Irish mob boss.
436C,United Kingdom,The Free Man - The Story Of Hurr,Plays,Ali Abbas Panju,"A performance to inspire people, regardless of their faith, to visualise the repentance of Hurr and the forgiveness of Imam Hussain"
437C,United Kingdom,Henry V: 600Th Anniversary Special,Theater,Marcus Bazley,"Commemorating the 600th anniversary of the Battle of Agincourt, Cyphers are reviving their production of Henry V - and going on tour!"
438C,Belgium,Theatre For Restorative Justice - Help Us Get To Belgium!,Plays,No Theatre,"We're a zero-budget, non-profit theatre group based in Oslo and have been invited to perform at a conference in Belgium. Help!"
440C,United States,Broadway+Thresher: A Digital Magazine At The Crossroads.,Periodicals,David Gobeli & Andrew Kohn,Standing at the intersection of urban innovation and rural living.
441C,United States,Online Community Rights Hub + Special Edition Magazine,Publishing,Simon Davis-Cohen,A place to share and compare stories and advice from communities working to assert their rights.
442C,United States,82 Nights - A Fairytale Artbook,Art Books,Anna Mohrbacher,Ania Mohrbacher is creating replicas of her 82 page sketchbook filled with fairytale ink drawings for you to own and enjoy.
443C,United States,The Gin Thief,Fiction,SCBarrus,A steampunk gangland serial following Yevylina foreign girl struggling to survive a hostile city by joining a gang known as Scarlets.
444C,Canada,Masters Of Anatomy,Art Books,Masters Of Anatomy,"An Anatomy Book drawn by animatorsillustrators and comic-book artists who have worked for Disney, Pixar, Dream Works, Marvel and DC."
445C,United States,Arc - Issue 16 - Death,Periodicals,Arc - Royal College Of Art,Please help us print the next issue of the journal of the Royal College of Art.
446C,United Kingdom,The Wedding Week,Children's Books,Chimaechi Allan,Attend 7 diverse weddings in 7 days in a journey around the world from saris to chuppahs! A vibrant story set in contemporary Africa.
447C,United States,Skinjobs: A Blade Runner Zine!,Art Books,James O,"Blade Runner-inspired artwork from 25 illustrators, collected in a risographed anthology booklet."
448C,United States,Hansel & Gretel: A Shadow Theatre Book,Art Books,Joe Freedman,A dark tale brought to life in five laser cut panels. You can read it as a book or project the artwork onto a wall with a flashlight.
449C,United Kingdom,Settled Wanderers: Translated Saharawi Poetry By Sam Berkson,Poetry,Kit Caless,Sam Berkson will revisit the Saharawi refugee camps in Algeria to collect Saharawi poetry to translate & publish with Influx Press.
450C,United States,The Song Of The Summer King... In Hardcover!,Fiction,Jessica (Owen) Kara,"An exciting new fantasy, stunning cover art, all that's left is to print! Let's create a beautiful collectible out of my debut novel."
451C,United States,"""The A To Z Guide To Jobs For Girls"" Abc Board Book",Children's Books,Charles Dowd,"An adorably illustrated children's ABC board book featuring career options for girls such as Astronaut, Firefighter, and Quarterback!"
452C,United States,Scavenger Hunt: A Self Published Artist's Book,Art Books,Jonathan Gitelson (Deleted),"I'm an artist living in Chicago and am raising money to self publish and professionally bind my artist's book""Scavenger Hunt."" "
453C,United States,Heart Magazine,Zines,Rachel LeBeau,We're creating a magazine that focuses on building women up by sharing their stories and featuring attainable lifestyle content.
454C,United States,Comedy Of Doom: The Book,Publishing,Joseph Scrimshaw,A collection of essaysparodiesand true stories covering every major topic in geek culture.
455C,United States,Assemble Daily News,Art Books,Eric Lidji,During SeptemberAssemble Daily News published 151 illustrations of daily life in Pittsburgh. Please help me collect them in a book.
456C,United States,I Pray Hardest,Nonfiction,Kyle Garret,"""I Pray Hardest When I'm Being Shot At"" is a true story of love and war."
457C,United States,"Dogs Rule, Nonchalantly",Publishing,Mark Ulriksen,New Yorker cover artist Mark Ulriksen writes and illustrates his first book - all about dogs.
458C,United Kingdom,Yangalang: Digest Tv,Theater,Yangalang Theatre,Digest TV is a collection of comedy sketchesexploring reality TV and how the female identity is used to fuel our trashy TV appetite.
459C,United States,Coming Home,Plays,Erasing The Distance,Professional actors bring to life the true stories of 5 African-Americans struggling with mental health and their search for healing.
460C,United Kingdom,Twelve Angry Women,Plays,Sara Clifford,"On the 60th anniversary of Twelve Angry Men, 12 female writers create 12 short pieces about what makes them angry."
462C,United States,Love At The End Of Time--Fringenyc 2015,Festivals,Adam Swartz,Haunted by ghosts of love & crimes6 people woven into surprising intimacies by the great serpent of Time. A new play: FringeNYC 2015.
463C,United States,Acrobatica Infiniti Circus - Circus & Geek Culture Collide,Theater,Tana Karo,America's first and only traveling 'Nerd Circus' launch campaign has begun! Be part of our origin story: become an AI Super fan.
464C,United States,"Moonlet Theater Presents ""The Last Five Years""",Musical,Amal Bisharat,"I am thrilled to announce my theater company's first production! ""The Last Five Years""- J. Robert Brown. Starring myself and JP Jones."
465C,United States,Bloomers Presents: Laughtherfest,Festivals,Laura Petro,"Providing a platform for women to share their unique comedic voices, we'll show the world how kickass women in comedy are."
466C,United Kingdom,Thimble Theatre Presents: Walk Ashore,Theater,Thimble Theatre,"Drawing on storytelling, physical theatre, circus and live percussion, Walk Ashore is an imaginative new piece of visual theatre."
467C,United Kingdom,Helmer's Loo,Plays,Foreign Affairs,"We have an award-winning Danish play, now we just need a bathroom set to perform it in. Spend a penny to help us build the set!"
469C,United States,"""Aesop Amuck"" Fluxwagon Makeover For Bay Area Parks Tour",Theater,Rebecca Longworth,"Help us bring ""Aesop Amuck"" to Bay Area parks & public spaces this summer aboard FluxWagon, our mobile stage that's full of surprises."
470C,United States,"""Poor People"" At Fringenyc 2015",Festivals,Irene Kapustina,"""Poor People"" is a poignant adaptation to the stage of Dostoyevsky's classic novella. This work explores love's triumph over poverty."
471C,Ireland,Creation Of The Dublin Circus Centre,Spaces,Dublin Circus Project,"We are fundraising to create a Dublin based circus training centre for public and professionals to learn, upskill, perform and teach."
472C,United Kingdom,Send The Bad Arm To Edinburgh. Meet The Dodgy Irish Dancer!,Plays,Máire Clerkin,"Please help me bring 'The Bad Arm', which has toured America for 6 years, to the biggest & best arts festival in the world: Edinburgh!"
473C,United States,Animal Animal Mammal Mine,Theater,Anisa George,"A devised dance-theater piece about fertility, ecology, and the fate of humankind"
474C,United States,The Lady In Red Converses With Diablo,Immersive,Sophia Schrank,In the Basement Co invades a 10-room former hospital basement in Brooklyn to put up our new show The Lady in Red Converses with DIABLO!
475C,United States,King Kong: A Puppet Show,Theater,Ladd N Wendelin,A puppet theatre adaptation of the classic 1933 film King Kong by local actor and puppeteer Ladd Wendelin.
476C,United States,The Universal Puppet Project- A Cross-Cultural Collaboration,Theater,Anna Paniccia,"With our cultures and styles of puppetry, puppeteers from France, Germany, US, Thailand, Cambodia, and Burma: we are developing a show."
477C,United States,The Daphne And Carl Experience,Theater,Daphne Gardner,We're bringing our new interactive play to The Gene Frankel Theatre in New York City.
478C,United States,"World Premiere Of ""The Strange Attractor""",Theater,Jesse Cramer,A new play by Jesse Cramer that relates mathematical concepts to two couples who struggle after the accidental death of their sons.
479C,United States,Things Being What They Are,Theater,Cameron Jappe & Moving Arts,"Los Angeles production of a comedy by Wendy Macleodwriter of ""The House of Yes"""
480C,United States,Hamlet,Theater,Alexandra Oliver,Player King Productions presents an exciting new look at Shakespeare's Hamlet.
481C,United States,Bd Wong: Live Concert Recording Of The Musical Herringbone,Theater,BD Wong,11 roles! 14 songs! Recording this show for a CD is a dream project for BDW; it's dedicated lovingly to the memory of author TOM CONE.
482C,United States,Shakespeare On The Trapeze!,Theater,Matchbook Productions,"Eight actorsfour low-flying trapezesand live music combine to raise the language of Shakespeare's ""Richard II"" to new heights!"
483C,United States,Life Is A Dreamfree Show In Prospect Park,Theater,A Festival Of Fools,"A Festival of Fools is producing its second annual free verse play in Prospect ParkBrooklyn""Life is a Dream"" by Pedro Calderon de la Barca."
484C,United States,American Psycho,Musical,Jesse Singer,Patrick Bateman LIVE on stage! Bring a raincoat.
485C,United States,The Man Who Wasn'T There,Theater,Mariana Ortiz,A dance-theatre virtuosic piecespinning a new myth as old as time. A man goes on a journey weaving all past and future into the NOW.
486C,United States,Waiting For Lefty - La To Ny,Theater,Stella Adler Studio Of Acting,Help bring the critically-acclaimedLos Angeles production of Clifford Odet's Waiting for Lefty to New York City
487C,United States,Before The Red Trees Come,Theater,Kristopher Lee Bicknell,A neworiginal silent play to be produced at the Hollywood Fringe Festival in June 2012.
488C,United States,Spacestation1985,Theater,Natalie George,spacestation1985 is a live action science fiction psychological roller coaster coming to austin texas in september of 2012.
489C,Canada,The  List,Theater,Steph Ouaknine,"A run of Jennifer Tremblay's award-winning play ""The List"" starring Torri Higginson and one front-facing projector!"
490C,United Kingdom,Who Ya Gonna Call? Returns To The Edinburgh Festival Fringe,Theater,Superfan Ltd.,We're a comedy fan tribute musical celebrating the love for our favourite filmat the Edinburgh Festival Fringe.
491C,United States,Antigone.,Theater,Sophie Paterson,An ensemble generated multi-media retelling of Antigone in post-apocalyptic Seattle.
492C,United States,King Executioner With Marionettes,Theater,Vít Horejš,"A wartime love story by Vit Horejs, performed with actorsmarionettes and live music composed by Frank London"
493C,United Kingdom,Nirbhaya - Breaking The Silence About Violence Against Women,Theater,Nirbhaya Company,NIRBHAYA - Inspirational theatre empowering the survivors of gender-based violence to speak out worldwide
494C,United States,Spitting In The Face Of The Devil - 2011 Summer Tour,Theater,Bob Brader & Suzanne Bachner,7681 miles5 cities2 theater artists1 powerful award-winning solo show.  Our 3-month tour would love your support!
495C,United Kingdom,Cutting Off Kate Bush,Plays,Lucy Benson-Brown,Cutting Off Kate Bush is a one-woman show written & performed by Lucy Benson-Brownpremiering at the Edinburgh Fringe Festival 2014
496C,United States,Love And War,Theater,Love & War Musical,An epic romantic musical set around WWII about love healing the wounds of war.
498C,United States,"""Ghost In The Machine"" New York Premiere",Theater,The Dead Copycats (Deleted),"""Ghost in the Machine"" is a new play by Mike Leon, making its New York premiere at the Theater for the New City, Oct. 13th."
499C,United States,The Freak Flag Phenomenon,Experimental,Overunder,A premiere night of performances by new experimental theater group overunder exploring what it means to let a freak flag fly.
500C,United States,Middle Names: A World Premiere New Play,Theater,Corey O'Hara,Middle Names is a wild new play to be premiered at the 2014 Fertile Ground Festival!
501C,United States,"Send ""Lizzie Borden Took An Axe"" To Fall Riverma!",Theater,Garrett Heater,"The award-winning new play ""Lizzie Borden Took an Axe"" will have 2 performances in Lizzie's home town...Fall RiverMA!"
502C,United Kingdom,Gardening: For The Unfulfilled And Alienated - By Brad Birch,Theater,Undeb Theatre,"Step inside Owain's shed to hear the lengths one man will go to for a beautiful garden. A play about obsession, death and horticulture."
503C,United States,Dr. Womb & Dr. Tomb's Wondrous Wandering Ward Of Cures...,Theater,The Wandering Uterus Project,"Dr. Womb & Dr. Tomb is a travelling medicine show that challenges recent political rhetoric about women, their rights, & their bodies."
504C,United States,"Sam Shepard's ""Fool For Love""",Theater,Matthew Hill,"This production of ""Fool for Love"" will premiere at the 2012 Hollywood Fringe Festival."
505C,United States,Secular Solstice 2014,Festivals,Raymond Arnold,Gather to sing and celebrate humanityscience and civilization: how we turned the longest night into a festival of light.
506C,United States,Year Around Haunted House,Theater,Natasha,Everyone loves haunted houses but what if you didn't have to wait 11 months to get the crap scared out of you? I have your answer.
507C,United States,Liberty Falls54321,Plays,The Moving Company | Theatre That Moves,"It's a celebration of our heritage. Wellnot all of ours. If you live in Liberty Fallsit's yours. If you don't, then it's not."
508C,United States,Funny Folks,Theater,Funny Folks,A workshop for adolescents who identify as transnon-binaryand female to learn improvsketchand stand-up comedy skills
509C,United States,Neighborhood Theatre Group's First Season!,Theater,Kristin Anne Danko,Help build the theatre community in YpsilantiMichigan by donating to Neighborhood Theatre Group!
510C,United States,"New Musical ""My Lives Inside"" About Mental Illness",Musical,Athena Louise Hyacinth,I am producing a new musical that discusses mental illness to help raise awareness and defeat stigmas associated with it.
511C,United States,Sterling Lion Theater Company,Theater,Sterling Lion Theater Company,The Sterling Lion Theater Company is a non-profit theater group established for the benefit of the Connecticut lower Naugatuck Valley.
513C,United States,"""Notes From The 422Nd Annual Wraiths For Writing Conference""",Fiction,Amelia Garretson-Persans,An illustrated book detailing the author's otherworldly experiences at a literary conference for and by ghosts
514C,United States,Sweet Freedom Bakery Allergen-Free Cookbook & Secret Recipes,Nonfiction,Allison Lubert,"We are finally sharing our coveted recipes that are free of gluten, dairy, soy, eggs, cornrefined sugars & peanuts."
515C,United States,Good Jobbrain! - A Trivia & Quiz Show Podcast,Radio & Podcasts,Karen Chu,Stump and get stumped! Play along & laugh along as our co-hosts eke out brain juice in this offbeat trivia podcast.
516C,United States,Book De Tour,Art Books,Greig Leach,Book de Tour - A unique visual record of the 2014 Tour de France to treasure forever.
517C,United States,Juniper Leaves: Quirky Ya Fantasy Book,Young Adult,Jaz Joyner,Juniper Braykinky-haired queer nerdembarks on a magical adventure in Scotland after losing her grandmother in this YA fantasy.
518C,United States,Legends Of The Talmud,Children's Books,Leah Vincent,"**Five magical ancient Jewish tales about compassion, determination, creativity & staying true to oneself.**"
519C,United States,She Inspires 365,Art Books,Andrea Leoncavallo,An art book collection of images and stories from the yearlong photography project about women and what inspires them.
520C,United States,Time 2 Re:Invent,Art Books,Magnus Rex Studio,An Artist Paralyzed By ALS Inspires Others To Fulfill Their Creative Potential.
521C,United Kingdom,Astronomy Diary,Nonfiction,Julian,Discover the beauty of the night sky. This handy pocket-sized diary is packed with everything a stargazer needs to know in 2014.
522C,United States,An Unpretentious Guide & Coloring Book To Electric Vehicles,Publishing,Ayumi Kim,"A modern age coloring book and guide to electric vehicles! Funny antics, bizarre questions, useful infographics! Simply electrifying!"
523C,United States,By Hand: A Lifestyle Magazine For People Who Make And Do,Periodicals,Susan Gibbs & Jeannie Bloch,"By Hand Magazine is a quarterly magazine that celebrates cooking, gardening,knitting, sewing, DIY and do-gooding."
524C,United States,No Experiences (Or 24 Ways Of Looking At A Spam Horse),Poetry,Erin Watson,I wrote 24 poems with one @Horse_ebooks tweet in each. I want to put them in a chapbook for you.
525C,United States,Kim Jong Il: The Unauthorized Autobiography,Nonfiction,Michael Malice,"""We don't want hordes of tourists to come here and spread AIDS and pollute our land."" -Kim Jong-Il4/25/98 (Juche 87)"
526C,United Kingdom,Bowie + Kraftwerk Inspired Synthpopthe 80S + The Future,Nonfiction,David Laurie,"How David BowieKraftwerk and cheap synths displaced rock'n'rollchanged what it meant to be ""in a band"" and invented Modern Pop:"
527C,United States,Strange Attractors: Nonhumanoid Extraterrestrial Sexualities,Art Books,Encyclopedia Destructica & Suzie Silver,A 300 pagefull color book and DVD containing artwritingand film that envisions non-humanoid extraterrestrial sexualities.
528C,United States,Pop Serial #2,Nonfiction,Stephen Dierks,"Please help fund Issue 2 of Pop Serial, my limited-edition literary/art magazine! Donate $10receive a copy. Donate morewin prizes!"
529C,United States,Unstuck: New Literature Of The Fantastic And The Surreal,Periodicals,Matt Williamson,"A print and electronic literary annual featuring new stories, poems, and essays from established and emerging authors around the world."
530C,United Kingdom,Wild Card Symphonies - Poetry Collection,Poetry,Angus Abranson  &  Chronicle City,"A collection of poetry written by author, and publisher, Angus Abranson."
531C,United Kingdom,Lear Inc. At The Edinburgh Festival Fringe 2015,Theater,LEAR Inc.,LEAR Inc. is a boldhigh-octane piece of theatre based on Shakespeare's 'King Lear'performing at the Edinburgh Festival Fringe 2015.
532C,United Kingdom,Pole,Festivals,Anais Alvarado,"Physical theatre piece mixing pole dance and verbatim text, taken from interviews of women for whom pole dancing is key in their lives."
533C,United States,Pulling Back The Curtain: The Long Red Herring By Pat Cook,Theater,Jim & Annie Mayer,A project to explore what it takes to make theatre happen through the design and production of a murder mystery play.
535C,United Kingdom,Pig By Alex Oates (London Run),Plays,Silent Uproar,Pig' by Alex Oates is an urgent and dark comedy with live music that discusses the vital issue of the state of our police force.
536C,United States,100 Heartbreaks - A Newold-School Country Musical Play,Musical,Joanna Garner,An aspiring singer decides to get her heart broken 100 times to be sad enough for country music.
537C,United States,Choose Your 90's Adventure,Immersive,4 Days Late Productions,4 Days Late needs your help to bring this interactive romp through the 90's to life!
538C,United Kingdom,"Go People Does 'Almost, Maine'",Plays,Go People,One of the most popular American plays of the last decade comes to London for its international premiere. Festive and bittersweet.
539C,United States,Depict-O-Mat,Immersive,Amy Rush,"Created for event entertainment, Depict-O-Mat is modeled after a vintage photo booth and dispenses short, personalized stories."
540C,United States,Prison Boxing: A New Play By Leah Joki,Plays,Skylight Theatre Company,A one-woman theatrical exploration of the prison system and its inhabitants.
542C,United States,"La Casa Azul, By Gregory Hancock...An Encore Performance!",Musical,Bernie Hirsch,An original new musical about the intense and turbulent life journey of Mexican artist Frida Kahlo.
543C,United Kingdom,Black Tonic 2015: Our Theatre Thriller In A Hotel Is Back,Immersive,The Other Way Works,Mysterious & visceral. Interactive theatre meets mini-break as audiences play detective in the bedrooms & corridors of a real hotel.
544C,United Kingdom,Riptide: New Immersive Theatre Company,Immersive,Alexander Palmer,"Giving audiences real choice within performance. We transform the city into a stage, passers-by become extras and you become the hero"
545C,United States,Paperhand Puppet Intervention 16Th Annual Summer Show,Plays,Jan Burger,Our 16th year promises to be bigger and better than ever but we need your help to bring the show to life!
546C,United States,"The World Premiere Of ""Perennial""",Theater,Tammy Minoff,"Lend us a hand producing the world premiere of PERENNIAL, a play about love and all the ways we screw it up.  Coming to L.A. June 2013."
547C,United States,The Quiet Way At The Hot! Festival,Theater,Casey Llewellyn,A play to find freedom within the confines of language. A landscape to be entered and the scraping of the self against the outside.
548C,United States,Lion (El León): An Absurdist Bi-Lingual Comedy,Theater,Chris Davis,"Lion (El Leon) is a bilingual (Spanish and English) comedy exploring culture clash, alienation, and the occasional animal nose."
549C,United States,Cafe Dante - Theatre Outside Of Theatre,Theater,Rebatensemble,"Eat, drink, be immersed in a story unfolding around you. Can people change and find a way through personal hell?"
